p12,p13,p14,p23,p24,p34,x_num,y_num,den,delta1_num,delta1_den,delta2_num,delta2_den,delta3_num,delta3_den,delta4_num,delta4_den,A_bound,B_bound
0,0,0,1,-30,-2,3,2,7,5,28,5,28,5,28,1,28,83,2
0,0,0,1,-28,-20,1,1,3,1,12,1,12,1,12,1,12,167,5
0,0,0,1,-28,-2,1,1,3,1,12,1,12,1,12,1,12,167,5
0,0,0,1,-27,-2,4,4,13,3,52,7,52,3,52,3,52,233,8
0,0,0,1,-26,-2,1,1,3,1,12,1,12,1,12,1,12,155,5
0,0,0,1,-25,-2,1,1,3,1,12,1,12,1,12,1,12,149,5
0,0,0,1,-24,-7,5,5,14,3,28,1,4,5,28,3,28,67,4
0,0,0,1,-24,-2,4,4,13,3,52,7,52,7,52,3,52,89,8
0,0,0,1,-23,-2,1,1,3,1,12,1,12,1,12,1,12,137,5
0,0,0,1,-22,-16,1,1,3,1,12,1,12,1,12,1,12,131,5
0,0,0,1,-22,-2,1,1,3,1,12,1,12,1,12,1,12,131,5
0,0,0,1,-21,-2,3,3,10,1,20,3,20,1,20,1,20,209,9
0,0,0,1,-20,-14,1,1,3,1,12,1,12,1,12,1,12,119,5
0,0,0,1,-20,-12,2,2,7,1,28,5,28,1,28,1,28,279,13
0,0,0,1,-20,-10,1,1,3,1,12,1,12,1,12,1,12,119,5
0,0,0,1,-20,-4,1,1,3,1,12,1,12,1,12,1,12,119,5
0,0,0,1,-20,-2,1,1,3,1,12,1,12,1,12,1,12,119,5
0,0,0,1,-19,-2,1,1,3,1,12,1,12,1,12,1,12,113,5
0,0,0,1,-18,-9,3,3,10,1,20,1,20,3,20,1,20,89,9
0,0,0,1,-18,-7,4,4,11,5,44,9,44,9,44,5,44,43,4
0,0,0,1,-18,-5,3,3,10,1,20,1,4,3,20,1,20,59,9
0,0,0,1,-18,-4,2,3,7,1,28,1,28,1,28,5,28,251,13
0,0,0,1,-18,-2,3,3,10,1,20,3,20,3,20,1,20,59,9
0,0,0,1,-17,-2,1,1,3,1,12,1,12,1,12,1,12,101,5
0,0,0,1,-16,-13,1,1,3,1,12,1,12,1,12,1,12,95,5
0,0,0,1,-16,-12,2,2,7,1,28,5,28,5,28,1,28,44,13
0,0,0,1,-16,-10,1,1,3,1,12,1,12,1,12,1,12,95,5
